word1,word2,wordSimScore,modelScore
drink,mother,0.5625,1.4163
drink,mouth,4.7375,2.645
drug,abuse,4.9375,3.9085
energy,crisis,3.0505,2.3291
energy,laboratory,2.7565,1.477
energy,secretary,1.0625,1.4559
environment,ecology,7.1875,4.9082
equipment,maker,2.5625,2.5527
exhibit,memorabilia,4.625,3.2407
experience,music,2.3125,1.941
family,planning,1.75,2.6735
FBI,fingerprint,4.0625,3.1342
FBI,investigation,5.0625,5.0406
fertility,egg,5.1875,2.9401
fighting,defeating,5.5,4.0711
five,month,1.069,4.2641
focus,life,2.3125,2.1729
food,fruit,7.0625,3.8163
food,preparation,3.75,3.0296
food,rooster,2.5625,1.4544
football,basketball,4.125,7.0273
football,soccer,8.5625,7.8456
football,tennis,3.6875,5.1231
forest,graveyard,1.394,2.8784
fuck,sex,8.25,4.7792
furnace,stove,8.0625,5.8625
game,defeat,3.6875,3.2767
game,round,5.1875,2.6109
game,series,4.5625,3.2418
game,team,4.625,4.4996
game,victory,4.6875,3.4351
gem,jewel,8.375,6.8809
gender,equality,3.4375,5.2492
glass,magician,1.0,1.1991
glass,metal,2.1875,4.3667
government,crisis,3.625,3.2084
governor,interview,1.625,1.5314
governor,office,4.3125,3.6297
grocery,money,3.375,2.0567
Harvard,Yale,4.875,8.0929
holy,sex,1.069,1.8664
hospital,infrastructure,3.3125,2.2716
hotel,reservation,5.0625,4.4876
hundred,percent,4.4375,3.9619
image,surface,1.8125,2.1431
impartiality,interest,1.875,2.7168
investigation,effort,3.75,3.2274
investor,earning,5.0625,1.8327
jaguar,car,5.3125,2.9673
jaguar,cat,6.4375,4.2413
Japanese,American,3.125,5.2156
Jerusalem,Israel,6.4375,7.2416
Jerusalem,Palestinian,4.5,5.6861
journal,association,2.625,2.1353
journey,car,4.0625,2.1188
journey,voyage,7.5,5.7584
king,cabbage,0.625,1.9205
king,queen,5.6875,7.0692
king,rook,3.125,4.009
lad,brother,4.9375,4.1621
lad,wizard,1.6875,3.2446
law,lawyer,6.1875,4.5653
lawyer,evidence,3.9375,1.7672
liability,insurance,4.375,4.8792
life,death,4.375,4.2261
life,lesson,3.1875,2.8212
life,term,3.8125,1.9842
line,insurance,1.3125,0.9345
liquid,water,7.0625,5.0531
listing,category,5.375,3.3323
listing,proximity,1.4375,1.9708
lobster,food,5.75,3.6783
lobster,wine,2.375,3.6407
love,sex,6.375,2.6175
lover,quarrel,1.6875,3.5045
luxury,car,3.3125,3.4254
magician,wizard,7.6875,5.8146
man,governor,4.25,2.9996
man,woman,4.5,7.6584
Maradona,football,5.375,3.4767
marathon,sprint,4.9375,5.684
Mars,scientist,4.375,2.3213
Mars,water,1.5625,1.1094
media,gain,1.375,1.2346
media,radio,6.4375,3.7949
media,trading,1.8125,1.5435
Mexico,Brazil,3.9375,5.6805
midday,noon,8.9375,6.4835
mile,kilometer,6.9375,6.6604
minister,party,3.0625,2.4205
ministry,culture,2.844,2.2571
minority,peace,1.1875,1.0022
money,bank,6.0,3.9832
money,cash,8.875,6.7916
money,cash,9.0315,6.7916
money,currency,7.9375,3.551
money,deposit,5.375,3.8688
money,dollar,7.6875,4.7871
money,laundering,4.4565,4.0047
money,operation,1.875,1.432
money,possession,4.3125,2.1216
money,property,5.0625,2.2728
money,wealth,7.0625,4.4445
money,withdrawal,4.0625,1.79
monk,oracle,2.5625,2.3396
monk,slave,2.5625,2.098
month,hotel,1.0625,0.9536
morality,importance,2.5,3.0632
morality,marriage,2.375,3.2448
movie,critic,3.1875,2.8063
movie,popcorn,3.875,4.5765
movie,star,4.3125,3.6319
movie,theater,6.125,5.7328
murder,manslaughter,7.5,6.1646
museum,theater,3.875,3.839
music,project,3.1875,1.5285
nature,environment,6.9375,4.4473
nature,man,2.9375,2.3514
network,hardware,3.8125,3.0003
news,report,6.8125,4.1036
noon,string,0.6875,-0.1028
observation,architecture,1.875,1.6154
oil,stock,2.9375,2.4809
OPEC,country,3.6875,1.96
OPEC,oil,5.5625,4.6121
opera,industry,1.194,1.6556
opera,performance,4.875,2.9566
peace,atmosphere,2.1875,2.2482
peace,insurance,1.7565,1.4293
peace,plan,1.5,1.5065
phone,equipment,4.0315,1.8372
physics,chemistry,5.0625,5.3809
physics,proton,6.125,3.6621
plane,car,3.5625,3.4821
planet,astronomer,5.4375,3.0433
planet,constellation,4.3125,3.1202
planet,galaxy,6.125,6.1943
planet,moon,6.0,4.5495
planet,people,3.375,2.5078
planet,space,5.3125,3.5124
planet,star,5.625,2.975
planet,sun,5.8125,3.1408
population,development,3.4755,2.4159
possibility,girl,1.069,0.7837
practice,institution,3.5625,2.118
precedent,antecedent,4.0,3.5942
precedent,cognition,2.0,0.6607
precedent,collection,1.0625,1.4497
precedent,example,5.4375,3.5838
precedent,group,1.5625,1.0307
precedent,information,2.375,1.5484
precedent,law,4.375,3.667
prejudice,recognition,3.3125,1.7711
preservation,world,2.4375,0.925
president,medal,1.25,1.7651
problem,airport,1.3125,0.964
problem,challenge,6.875,3.3868
production,crew,3.1875,2.8353
production,hike,0.9375,0.3266
professor,cucumber,0.3125,0.8852
professor,doctor,6.125,3.9638
profit,loss,3.875,3.8611
profit,warning,1.6875,1.3749
psychology,anxiety,3.75,3.4841
psychology,clinic,4.344,2.1652
psychology,cognition,4.0,5.0381
psychology,depression,5.25,3.3746
psychology,discipline,3.3125,4.1209
psychology,doctor,5.294,1.9591
psychology,fear,3.1875,2.1328
psychology,Freud,5.6875,3.744
psychology,health,4.3625,3.064
psychology,mind,5.4375,2.7445
psychology,psychiatry,6.9375,6.6195
psychology,science,5.9505,5.5633
reason,criterion,4.625,3.4949
reason,hypertension,0.875,0.6016
record,number,3.5,2.9046
registration,arrangement,3.4375,2.1569
report,gain,2.25,0.5227
rock,jazz,5.5,4.8704
rooster,voyage,0.9375,0.0445
school,center,3.875,2.0563
seafood,food,6.875,5.6632
seafood,lobster,6.9375,6.6878
seafood,sea,5.375,3.8965
secretary,senate,3.75,3.9809
seven,series,2.25,2.8078
shore,woodland,1.625,2.425
shower,flood,3.5625,1.4719
shower,thunderstorm,4.0,3.9957
sign,recess,1.5065,0.7739
situation,conclusion,3.5625,2.9169
situation,isolation,1.9375,3.1033
size,prominence,3.75,2.1531
skin,eye,2.75,3.6219
smart,student,3.625,1.5636
smart,stupid,3.25,5.3043
soap,opera,3.5625,5.0217
space,chemistry,1.8875,1.1305
space,world,4.9375,2.1642
start,match,2.5,2.558
start,year,1.625,3.6257
stock,CD,2.4375,0.638
stock,egg,1.4375,1.1596
stock,jaguar,0.9375,1.2186
stock,life,1.8125,1.1363
stock,live,1.875,0.9447
stock,market,4.875,4.7669
stock,phone,0.75,1.6041
street,avenue,7.6875,4.9594
street,block,6.5625,3.6767
street,children,1.294,1.673
street,place,4.5,2.7166
stroke,hospital,3.625,2.5273
student,professor,4.9375,5.2843
sugar,approach,0.9375,-0.2083
summer,drought,3.3125,3.2747
summer,nature,4.0,1.3502
telephone,communication,6.6875,4.2087
television,film,5.75,4.9196
television,radio,4.625,6.0909
tennis,racket,5.0,4.594
territory,kilometer,2.1875,2.7581
territory,surface,3.594,2.0531
theater,history,1.9375,2.0545
tiger,animal,6.9375,4.9256
tiger,carnivore,6.0,4.1281
tiger,cat,6.75,5.037
tiger,fauna,3.4375,3.0358
tiger,feline,5.0625,4.3561
tiger,jaguar,5.75,6.1699
tiger,mammal,6.25,4.056
tiger,organism,3.0625,1.1682
tiger,tiger,10.0,10.0
tiger,zoo,4.9375,4.4762
tool,implement,5.3125,2.8895
train,car,3.5,4.0559
travel,activity,4.1875,1.8466
treatment,recovery,5.3125,4.121
type,kind,8.4375,5.8456
victim,emergency,2.6875,1.7653
video,archive,3.4375,3.2246
viewer,serial,2.5625,1.475
vodka,brandy,6.25,6.8174
vodka,gin,6.0625,6.7335
volunteer,motto,1.3815,1.7826
war,troops,6.375,4.2605
water,seepage,3.875,4.7733
weapon,secret,2.5,3.7308
weather,forecast,5.4375,5.524
Wednesday,news,1.125,2.3882
wood,forest,7.9375,4.4357
word,similarity,0.8125,2.4451
